C1;H1;L1;C1;V1;O2;H2;L2;C2;V2;O3;H3;L3;C3;V3;O4;H4;L4;C4;V4;Final
8700.04;9350;8604.72;9128.02;4147.380237;9128;9654.28;9112.04;9650;4521.625707;9650;9939;9570.5;9896.8;4917.210985;9896.79;11300.03;8520;9687.88;13352.53872;TRUE
9128;9654.28;9112.04;9650;4521.625707;9650;9939;9570.5;9896.8;4917.210985;9896.79;11300.03;8520;9687.88;13352.53872;9687.88;10900;8850.8;9838.96;9389.574329;TRUE
9650;9939;9570.5;9896.8;4917.210985;9896.79;11300.03;8520;9687.88;13352.53872;9687.88;10900;8850.8;9838.96;9389.574329;9837;10898;9380;10782.99;6134.923633;TRUE
9896.79;11300.03;8520;9687.88;13352.53872;9687.88;10900;8850.8;9838.96;9389.574329;9837;10898;9380;10782.99;6134.923633;10775.04;11190;10620;10890.01;4765.439757;TRUE
9687.88;10900;8850.8;9838.96;9389.574329;9837;10898;9380;10782.99;6134.923633;10775.04;11190;10620;10890.01;4765.439757;10902.69;11825;10500;11165.41;5346.636524;TRUE
9837;10898;9380;10782.99;6134.923633;10775.04;11190;10620;10890.01;4765.439757;10902.69;11825;10500;11165.41;5346.636524;11165.41;11600;10802;11579;4663.424562;TRUE
10775.04;11190;10620;10890.01;4765.439757;10902.69;11825;10500;11165.41;5346.636524;11165.41;11600;10802;11579;4663.424562;11571.03;11853;11447.68;11699.99;5550.732055;TRUE
10902.69;11825;10500;11165.41;5346.636524;11165.41;11600;10802;11579;4663.424562;11571.03;11853;11447.68;11699.99;5550.732055;11699.99;13615.23;11665.58;13550.05;6707.946319;TRUE
11165.41;11600;10802;11579;4663.424562;11571.03;11853;11447.68;11699.99;5550.732055;11699.99;13615.23;11665.58;13550.05;6707.946319;13541.01;16649.96;13050;16599;7487.065695;FALSE
11571.03;11853;11447.68;11699.99;5550.732055;11699.99;13615.23;11665.58;13550.05;6707.946319;13541.01;16649.96;13050;16599;7487.065695;16599;17204.99;14015;15880;17589.01314;FALSE
11699.99;13615.23;11665.58;13550.05;6707.946319;13541.01;16649.96;13050;16599;7487.065695;16599;17204.99;14015;15880;17589.01314;15880.01;16269.3;12535;14656.07;13918.75869;TRUE
13541.01;16649.96;13050;16599;7487.065695;16599;17204.99;14015;15880;17589.01314;15880.01;16269.3;12535;14656.07;13918.75869;14664.01;15720.12;12368;14899.98;16553.03717;TRUE
16599;17204.99;14015;15880;17589.01314;15880.01;16269.3;12535;14656.07;13918.75869;14664.01;15720.12;12368;14899.98;16553.03717;14946.26;17470;14901.08;16587.97;11820.40176;FALSE
15880.01;16269.3;12535;14656.07;13918.75869;14664.01;15720.12;12368;14899.98;16553.03717;14946.26;17470;14901.08;16587.97;11820.40176;16587.97;16976.45;15875;16349.99;9436.802411;FALSE
14664.01;15720.12;12368;14899.98;16553.03717;14946.26;17470;14901.08;16587.97;11820.40176;16587.97;16976.45;15875;16349.99;9436.802411;16349.99;16546;14666.56;16033.29;12416.3288;TRUE
14946.26;17470;14901.08;16587.97;11820.40176;16587.97;16976.45;15875;16349.99;9436.802411;16349.99;16546;14666.56;16033.29;12416.3288;16030.34;16445;15450;16334.98;11616.86715;TRUE
16587.97;16976.45;15875;16349.99;9436.802411;16349.99;16546;14666.56;16033.29;12416.3288;16030.34;16445;15450;16334.98;11616.86715;16334.98;17991;16298.45;17539.83;9181.273947;TRUE
16349.99;16546;14666.56;16033.29;12416.3288;16030.34;16445;15450;16334.98;11616.86715;16334.98;17991;16298.45;17539.83;9181.273947;17516.81;19539;17190.01;19102.66;4202.628709;FALSE
16030.34;16445;15450;16334.98;11616.86715;16334.98;17991;16298.45;17539.83;9181.273947;17516.81;19539;17190.01;19102.66;4202.628709;19120.19;19798.68;18510;18860.02;9177.183434;FALSE
16334.98;17991;16298.45;17539.83;9181.273947;17516.81;19539;17190.01;19102.66;4202.628709;19120.19;19798.68;18510;18860.02;9177.183434;18860.04;19300;17029.98;18856.25;10624.63307;FALSE
17516.81;19539;17190.01;19102.66;4202.628709;19120.19;19798.68;18510;18860.02;9177.183434;18860.04;19300;17029.98;18856.25;10624.63307;18856.25;18950;16300;17295.2;13210.74822;FALSE
19120.19;19798.68;18510;18860.02;9177.183434;18860.04;19300;17029.98;18856.25;10624.63307;18856.25;18950;16300;17295.2;13210.74822;17295.2;17720.35;14777.66;16488.98;13450.49669;FALSE
18860.04;19300;17029.98;18856.25;10624.63307;18856.25;18950;16300;17295.2;13210.74822;17295.2;17720.35;14777.66;16488.98;13450.49669;16480.52;17309.5;14022;15492.64;20324.2173;FALSE
18856.25;18950;16300;17295.2;13210.74822;17295.2;17720.35;14777.66;16488.98;13450.49669;16480.52;17309.5;14022;15492.64;20324.2173;15514.03;15699.34;10961;13326.61;36076.27118;FALSE
17295.2;17720.35;14777.66;16488.98;13450.49669;16480.52;17309.5;14022;15492.64;20324.2173;15514.03;15699.34;10961;13326.61;36076.27118;13326.61;14950;12978.18;13300;13141.53888;TRUE
16480.52;17309.5;14022;15492.64;20324.2173;15514.03;15699.34;10961;13326.61;36076.27118;13326.61;14950;12978.18;13300;13141.53888;13300;13819.99;11640;13500;28557.53499;TRUE
15514.03;15699.34;10961;13326.61;36076.27118;13326.61;14950;12978.18;13300;13141.53888;13300;13819.99;11640;13500;28557.53499;13500;14300;12708;13699.34;15748.20761;TRUE
13326.61;14950;12978.18;13300;13141.53888;13300;13819.99;11640;13500;28557.53499;13500;14300;12708;13699.34;15748.20761;13699.34;16050;13533;15689.01;15034.6681;FALSE
13300;13819.99;11640;13500;28557.53499;13500;14300;12708;13699.34;15748.20761;13699.34;16050;13533;15689.01;15034.6681;15709.98;16498.05;14200.15;15459.99;14959.86472;FALSE
13500;14300;12708;13699.34;15748.20761;13699.34;16050;13533;15689.01;15034.6681;15709.98;16498.05;14200.15;15459.99;14959.86472;15459.97;15539.99;13150;14182.11;21717.85801;TRUE
