CO1,HL1,HO1,HC1,OL1,CL1,V1,CO2,HL2,HO2,HC2,OL2,CL2,V2,CO3,HL3,HO3,HC3,OL3,CL3,V3,CO4,HL4,HO4,HC4,OL4,CL4,V4,Final
-24.79196021,142.9318929,7.79470201,43.32869507,125.3653365,69.49285191,3789768.913,34.43249835,53.81838699,47.53264901,9.744779582,4.260574201,40.1600947,2528373.691,9.608700696,24.02365406,16.78654292,6.548606253,6.196870765,16.40101023,2685340.079,-3.278060428,17.51386845,9.861382031,13.58475907,6.965583607,3.459187139,1504745.518,TRUE
34.43249835,53.81838699,47.53264901,9.744779582,4.260574201,40.1600947,2528373.691,9.608700696,24.02365406,16.78654292,6.548606253,6.196870765,16.40101023,2685340.079,-3.278060428,17.51386845,9.861382031,13.58475907,6.965583607,3.459187139,1504745.518,24.046408,28.68504885,25.23418486,0.957526205,2.755528768,27.46454246,1507827.215,TRUE
9.608700696,24.02365406,16.78654292,6.548606253,6.196870765,16.40101023,2685340.079,-3.278060428,17.51386845,9.861382031,13.58475907,6.965583607,3.459187139,1504745.518,24.046408,28.68504885,25.23418486,0.957526205,2.755528768,27.46454246,1507827.215,2.770509534,18.5340115,9.991125195,7.025960749,7.766886914,10.75257879,1891193.007,FALSE
-3.278060428,17.51386845,9.861382031,13.58475907,6.965583607,3.459187139,1504745.518,24.046408,28.68504885,25.23418486,0.957526205,2.755528768,27.46454246,1507827.215,2.770509534,18.5340115,9.991125195,7.025960749,7.766886914,10.75257879,1891193.007,-7.493190701,22.65496183,3.445123443,11.82433404,18.57007634,9.685394402,1730389.16,TRUE
24.046408,28.68504885,25.23418486,0.957526205,2.755528768,27.46454246,1507827.215,2.770509534,18.5340115,9.991125195,7.025960749,7.766886914,10.75257879,1891193.007,-7.493190701,22.65496183,3.445123443,11.82433404,18.57007634,9.685394402,1730389.16,27.97183525,35.91671486,30.83916155,2.24059169,3.880759591,32.93811452,1592619.954,TRUE
2.770509534,18.5340115,9.991125195,7.025960749,7.766886914,10.75257879,1891193.007,-7.493190701,22.65496183,3.445123443,11.82433404,18.57007634,9.685394402,1730389.16,27.97183525,35.91671486,30.83916155,2.24059169,3.880759591,32.93811452,1592619.954,42.81683707,50.53493545,44.02987456,0.849365882,4.516466402,49.26711153,2707064.911,TRUE
-7.493190701,22.65496183,3.445123443,11.82433404,18.57007634,9.685394402,1730389.16,27.97183525,35.91671486,30.83916155,2.24059169,3.880759591,32.93811452,1592619.954,42.81683707,50.53493545,44.02987456,0.849365882,4.516466402,49.26711153,2707064.911,46.85124343,66.73941361,48.76215166,1.301254372,12.08456704,64.5975804,2495281.856,TRUE
27.97183525,35.91671486,30.83916155,2.24059169,3.880759591,32.93811452,1592619.954,42.81683707,50.53493545,44.02987456,0.849365882,4.516466402,49.26711153,2707064.911,46.85124343,66.73941361,48.76215166,1.301254372,12.08456704,64.5975804,2495281.856,14.4150302,49.12904373,45.03712017,26.76404482,2.821293992,17.64301458,3435639.258,TRUE
42.81683707,50.53493545,44.02987456,0.849365882,4.516466402,49.26711153,2707064.911,46.85124343,66.73941361,48.76215166,1.301254372,12.08456704,64.5975804,2495281.856,14.4150302,49.12904373,45.03712017,26.76404482,2.821293992,17.64301458,3435639.258,36.3904781,80.68030379,76.32989726,29.28314331,2.467197339,39.75550034,2518242.149,TRUE
46.85124343,66.73941361,48.76215166,1.301254372,12.08456704,64.5975804,2495281.856,14.4150302,49.12904373,45.03712017,26.76404482,2.821293992,17.64301458,3435639.258,36.3904781,80.68030379,76.32989726,29.28314331,2.467197339,39.75550034,2518242.149,30.1466895,37.58235999,37.02275286,5.283317912,0.408404528,30.67821447,2098808.027,FALSE
14.4150302,49.12904373,45.03712017,26.76404482,2.821293992,17.64301458,3435639.258,36.3904781,80.68030379,76.32989726,29.28314331,2.467197339,39.75550034,2518242.149,30.1466895,37.58235999,37.02275286,5.283317912,0.408404528,30.67821447,2098808.027,-1.779366034,38.19305348,10.40959519,12.40977657,25.16398892,22.93686341,1993468.938,FALSE
